		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111011010  217  240  242  214  217  242  222  262 13.617189 0.092305 SUCCESS 130
111011100  245  258  250  246  261  265  246  241  4.088917 0.849013 SUCCESS 131
111100000  221  259  250  243  234  253  250  259  5.206339 0.735312 SUCCESS 132
111100010  254  226  245  258  259  250  240  235  4.132343 0.844990 SUCCESS 133
111100100  253  253  237  239  250  240  233  228  2.838040 0.944106 SUCCESS 134
111100110  257  268  280  260  236  247  242  247 10.006487 0.264571 SUCCESS 135
111101000  262  207  244  247  244  223  235  244  9.471607 0.304085 SUCCESS 136
111101010  252  260  243  226  242  229  261  250  5.068647 0.750214 SUCCESS 137
111101100  235  251  234  215  259  225  271  230 10.973507 0.203205 SUCCESS 138
111101110  267  234  254  248  243  242  237  234  3.801882 0.874541 SUCCESS 139
111110000  252  262  256  231  250  254  244  235  3.855900 0.869885 SUCCESS 140
111110010  242  236  231  276  261  254  222  219 11.701155 0.165044 SUCCESS 141
111110100  262  205  221  242  255  235  237  261 12.399146 0.134264 SUCCESS 142
111110110  235  251  233  220  259  224  245  240  6.271861 0.616808 SUCCESS 143
111111000  254  224  239  248  259  231  243  237  4.191656 0.839431 SUCCESS 144
111111010  233  226  228  201  263  270  230  264 17.761712 0.023086 SUCCESS 145
111111100  249  249  257  237  236  237  267  234  4.264739 0.832483 SUCCESS 146
111111110  243  245  257  233  238  245  279  228  7.651957 0.468185 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  252  243  233  226  243  232  241  237  3.068938 0.929957 SUCCESS   0
000000011  266  247  239  235  254  231  243  244  3.674782 0.885210 SUCCESS   1
000000101  241  231  262  230  250  253  236  232  4.352650 0.823988 SUCCESS   2
000000111  252  213  237  231  235  213  242  220 12.254040 0.140224 SUCCESS   3
000001001  247  226  257  268  240  258  236  253  6.045200 0.642169 SUCCESS   4
000001011  249  246  247  239  265  243  224  219  6.503819 0.590984 SUCCESS   5
000001101  256  277  250  269  238  245  248  252  8.432563 0.392396 SUCCESS   6
000001111  227  222  231  246  242  241  255  226  6.014484 0.645609 SUCCESS   7
000010001  236  224  238  247  237  244  228  240  3.578398 0.893021 SUCCESS   8
000010011  250  241  246  257  231  241  244  232  2.298923 0.970449 SUCCESS   9
000010101  244  212  232  225  267  265  245  244 10.611271 0.224712 SUCCESS  10
000010111  228  265  235  246  225  240  258  201 13.632018 0.091875 SUCCESS  11
000011001  259  253  238  248  252  221  259  266  6.986800 0.538058 SUCCESS  12
000011011  264  239  245  267  250  245  234  245  4.592021 0.800158 SUCCESS  13
000011101  219  234  243  230  237  235  230  239  5.483841 0.704830 SUCCESS  14
000011111  242  230  234  232  245  254  232  243  2.966199 0.936461 SUCCESS  15
000100011  238  221  248  225  233  265  221  255  9.175040 0.327746 SUCCESS  16
000100101  250  253  256  257  257  255  249  238  3.242642 0.918221 SUCCESS  17
000100111  231  263  242  229  232  245  241  240  3.967113 0.860078 SUCCESS  18
000101001  258  240  241  249  241  244  235  232  2.046842 0.979542 SUCCESS  19
000101011  252  217  220  252  271  242  238  239  9.457838 0.305156 SUCCESS  20
000101101  262  246  236  251  242  244  254  253  2.614555 0.956175 SUCCESS  21
000101111  240  239  242  231  252  248  262  209  7.839430 0.449310 SUCCESS  22
000110011  235  241  237  242  273  254  256  272  8.463279 0.389571 SUCCESS  23
000110101  277  251  234  232  244  261  244  260  8.110576 0.422744 SUCCESS  24
000110111  264  246  213  252  256  272  220  245 12.413975 0.133667 SUCCESS  25
000111001  254  261  248  233  237  241  253  266  4.825038 0.776102 SUCCESS  26
